,Player,Pos,Age,Tm,AllStar,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Image
58,Devin Booker,SG,24,PHO,2,23,810,17.2,0.593,0.317,0.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,0.082,0.2,-1.1,-0.9,0.2,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136193.png&w=350&h=254\
99,Mike Conley,PG,33,UTA,2,23,674,19.8,0.593,0.536,0.223,3.8,9.2,6.6,30.2,2.3,0.2,12.6,23.3,1.9,1,2.9,0.207,3.7,0.4,4.1,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3195.png&w=350&h=254\
108,Stephen Curry,PG,32,GSW,2,29,987,25.6,0.661,0.578,0.261,1.4,14.8,8.2,31.4,1.7,0.2,12.4,32.2,3.1,1.2,4.3,0.21,7.5,0,7.6,2.4,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3975.png&w=350&h=254\
109,Anthony Davis,PF,27,LAL,2,23,755,24.7,0.588,0.151,0.339,7.2,20.9,14.3,15.5,2,4.6,9.3,27.9,1.6,1.7,3.3,0.212,4.3,2.1,6.4,1.6,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6583.png&w=350&h=254\
117,Luka Doncic,PG,21,DAL,2,27,954,26.8,0.586,0.34,0.392,2.7,24.2,13.4,47.5,1.4,1.8,14.5,36,2.5,0.8,3.4,0.17,6.8,1,7.8,2.4,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3945274.png&w=350&h=254\
156,Paul George,SF,30,LAC,2,20,680,23.2,0.662,0.474,0.254,2.2,17.8,10.2,25.7,1.7,1.2,16.4,28.6,1.8,0.8,2.6,0.185,5.7,-0.4,5.4,1.3,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4251.png&w=350&h=254\
161,Rudy Gobert,C,28,UTA,2,29,878,23.2,0.644,0.004,0.676,12.9,33.2,23.5,6.3,0.7,7.1,12.8,18,2.2,2.1,4.3,0.237,1.7,2,3.6,1.3,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032976.png&w=350&h=254\
229,LeBron James,PG,36,LAL,2,29,1006,24.2,0.6,0.355,0.318,2,23.6,13.2,38.4,1.4,1.3,14.8,31.4,2.3,1.9,4.2,0.2,5.8,1.3,7.2,2.3,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1966.png&w=350&h=254\
237,Nikola Jokic,C,25,DEN,2,28,1006,31.4,0.656,0.207,0.3,9.3,25.9,17.5,40.6,2.2,1.7,14.1,29.4,4.9,1.4,6.3,0.3,9.1,2.3,11.4,3.4,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3112335.png&w=350&h=254\
272,Damian Lillard,PG,30,POR,2,27,969,27.1,0.625,0.529,0.379,1.4,12.2,6.5,36.2,1.5,0.7,11.7,32.2,4.2,0.3,4.5,0.225,7.7,-1.4,6.3,2.1,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6606.png&w=350&h=254\
319,Donovan Mitchell,SG,24,UTA,2,27,908,18.9,0.559,0.445,0.261,3.2,10.3,6.9,25.3,1.3,0.9,12,31.4,1.6,1.1,2.7,0.145,2.7,-1,1.7,0.8,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3908809.png&w=350&h=254\
365,Chris Paul,PG,35,PHO,2,26,843,20.4,0.589,0.296,0.204,2,13.8,8,38.9,1.9,0.7,13.9,23.4,2.2,1.1,3.2,0.183,2.7,1.2,3.9,1.3,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2779.png&w=350&h=254\
485,Zion Williamson,PF,20,NOP,2,27,880,27,0.659,0.038,0.496,8.2,14.9,11.5,16.2,1.5,2.2,10.8,27.8,3.4,0.5,3.9,0.215,4.6,-0.1,4.5,1.5,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395628.png&w=350&h=254}